Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
(vertigo) paroymsal positional vertigo,unsteadiness,spinning_movements,loss_of_balance,,,,,,,,,,,,,,
hepatitis c,nausea,yellowing_of_eyes,family_history,fatigue,yellowish_skin,,,,,,,,,,,,
hyperthyroidism,excessive_hunger,fatigue,diarrhoea,abnormal_menstruation,restlessness,,,,,,,,,,,,
hepatitis d,yellowing_of_eyes,nausea,yellowish_skin,abdominal_pain,fatigue,joint_pain,loss_of_appetite,dark_urine,,,,,,,,,
hepatitis e, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,
hepatitis a,dark_urine,muscle_pain,diarrhoea,joint_pain,nausea,yellowing_of_eyes,,,,,,,,,,,
alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,loss_of_smell,,,,,,,,,,,,,
dimorphic hemmorhoids(piles),irritation_in_anus,pain_in_anal_region,constipation,joint_pain,,,,,,,,,,,,,
typhoid,toxic_look_(typhos),diarrhoea,vomiting,headache,high_fever,,,,,,,,,,,,
hepatitis b,loss_of_appetite,itching,yellowing_of_eyes,dark_urine,yellow_urine,abdominal_pain,,,,,,,,,,,
impetigo,blister,red_sore_around_nose,yellow_crust_ooze,skin_rash,,,,,,,,,,,,,
cervical spondylosis,back_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,
impetigo,skin_rash,red_sore_around_nose,yellow_crust_ooze,high_fever,blister,,,,,,,,,,,,
pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,
hyperthyroidism,irritability,restlessness,fatigue,mood_swings,abnormal_menstruation,fast_heart_rate,,,,,,,,,,,
malaria,high_fever,chills,sweating,headache,nausea,muscle_pain,,,,,,,,,,,
heart attack,sweating,breathlessness,chest_pain,vomiting,,,,,,,,,,,,,
peptic ulcer diseae,abdominal_pain,loss_of_appetite,internal_itching,indigestion,passage_of_gases,vomiting,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,vomiting,unsteadiness,spinning_movements,headache,loss_of_balance,,,,,,,,,,,,
chronic cholestasis,abdominal_pain,yellowing_of_eyes,nausea,loss_of_appetite,yellowish_skin,itching,vomiting,increased_appetite,,,,,,,,,
common cold,cough,redness_of_eyes,chills,loss_of_smell,continuous_sneezing,throat_irritation,,,,,,,,,,,
hepatitis d,fatigue,joint_pain,dark_urine,abdominal_pain,nausea,yellowish_skin,,,,,,,,,,,
fungal infection,itching,dischromic _patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
osteoarthristis,knee_pain,swelling_joints,painful_walking,joint_pain,neck_pain,,,,,,,,,,,,
varicose veins,swollen_legs,bruising,swollen_blood_vessels,prominent_veins_on_calf,obesity,,,,,,,,,,,,
peptic ulcer diseae,loss_of_appetite,indigestion,abdominal_pain,vomiting,runny_nose,,,,,,,,,,,,
arthritis,muscle_weakness,painful_walking,stiff_neck,movement_stiffness,swelling_joints,,,,,,,,,,,,
common cold,muscle_pain,high_fever,cough,swelled_lymph_nodes,runny_nose,sinus_pressure,redness_of_eyes,throat_irritation,chest_pain,chills,,,,,,,
hypothyroidism,swollen_extremeties,lethargy,depression,weight_gain,abnormal_menstruation,fatigue,dizziness,cold_hands_and_feets,irritability,,,,,,,,
psoriasis,silver_like_dusting,skin_rash,joint_pain,skin_peeling,,,,,,,,,,,,,
hepatitis b,receiving_blood_transfusion,lethargy,loss_of_appetite,malaise,yellow_urine,yellowing_of_eyes,abdominal_pain,yellowish_skin,dark_urine,,,,,,,,
psoriasis,silver_like_dusting,skin_rash,skin_peeling,inflammatory_nails,small_dents_in_nails,loss_of_balance,,,,,,,,,,,
cervical spondylosis,dizziness,neck_pain,loss_of_balance,back_pain,,,,,,,,,,,,,
tuberculosis,sweating,breathlessness,blood_in_sputum,fatigue,,,,,,,,,,,,,
varicose veins,prominent_veins_on_calf,cramps,swollen_legs,,,,,,,,,,,,,,
jaundice,high_fever,vomiting,yellowish_skin,,,,,,,,,,,,,,
hepatitis d,vomiting,fatigue,yellowing_of_eyes,loss_of_appetite,yellowish_skin,nausea,joint_pain,,,,,,,,,,
hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,
pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,
hypothyroidism,swollen_extremeties,depression,irritability,abnormal_menstruation,fatigue,lethargy,brittle_nails,,,,,,,,,,
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
paralysis (brain hemorrhage),weakness_of_one_body_side,vomiting,altered_sensorium,,,,,,,,,,,,,,
pneumonia,cough,chills,phlegm,malaise,fatigue,chest_pain,sweating,,,,,,,,,,
(vertigo) paroymsal positional vertigo,vomiting,unsteadiness,loss_of_balance,,,,,,,,,,,,,,
hepatitis a,abdominal_pain,nausea,yellowish_skin,muscle_pain,dark_urine,yellowing_of_eyes,diarrhoea,joint_pain,,,,,,,,,
(vertigo) paroymsal positional vertigo,spinning_movements,unsteadiness,loss_of_balance,headache,nausea,vomiting,,,,,,,,,,,
typhoid,fatigue,belly_pain,toxic_look_(typhos),vomiting,,,,,,,,,,,,,
gerd,cough,vomiting,ulcers_on_tongue,acidity,stomach_pain,chest_pain,,,,,,,,,,,
drug reaction,burning_micturition,skin_rash,itching,stomach_pain,,,,,,,,,,,,,
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,
tuberculosis,high_fever,loss_of_appetite,swelled_lymph_nodes,phlegm,distention_of_abdomen,,,,,,,,,,,,
gastroenteritis,sunken_eyes,dehydration,vomiting,diarrhoea,,,,,,,,,,,,,
varicose veins,cramps,fatigue,prominent_veins_on_calf,swollen_blood_vessels,,,,,,,,,,,,,
heart attack,chest_pain,sweating,vomiting,breathlessness,,,,,,,,,,,,,
diabetes,lethargy,increased_appetite,excessive_hunger,,,,,,,,,,,,,,
varicose veins,bruising,swollen_blood_vessels,swollen_legs,cramps,prominent_veins_on_calf,fatigue,obesity,,,,,,,,,,
allergy,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,
jaundice,yellowish_skin,fatigue,weight_loss,abdominal_pain,,,,,,,,,,,,,
osteoarthristis,knee_pain,neck_pain,hip_joint_pain,painful_walking,swelling_joints,joint_pain,,,,,,,,,,,
hepatitis d,joint_pain,vomiting,nausea,yellowish_skin,,,,,,,,,,,,,
jaundice,dark_urine,fatigue,weight_loss,abdominal_pain,,,,,,,,,,,,,
jaundice,weight_loss,fatigue,high_fever,dark_urine,vomiting,abdominal_pain,yellowish_skin,itching,,,,,,,,,
hepatitis a,yellowish_skin,mild_fever,dark_urine,,,,,,,,,,,,,,
hepatitis b,receiving_unsterile_injections,yellowish_skin,yellowing_of_eyes,fatigue,receiving_blood_transfusion,yellow_urine,malaise,loss_of_appetite,dark_urine,,,,,,,,
paralysis (brain hemorrhage),weakness_of_one_body_side,headache,vomiting,altered_sensorium,,,,,,,,,,,,,
hypoglycemia,slurred_speech,nausea,palpitations,fatigue,irritability,drying_and_tingling_lips,headache,anxiety,vomiting,,,,,,,,
pneumonia,sweating,phlegm,fast_heart_rate,high_fever,,,,,,,,,,,,,
arthritis,movement_stiffness,painful_walking,muscle_weakness,stiff_neck,,,,,,,,,,,,,
chronic cholestasis,vomiting,yellowing_of_eyes,loss_of_appetite,nausea,itching,yellowish_skin,,,,,,,,,,,
psoriasis,skin_peeling,inflammatory_nails,small_dents_in_nails,skin_rash,silver_like_dusting,joint_pain,,,,,,,,,,,
hypertension,chest_pain,lack_of_concentration,dizziness,headache,,,,,,,,,,,,,
chronic cholestasis,yellowing_of_eyes,abdominal_pain,loss_of_appetite,vomiting,itching,,,,,,,,,,,,
psoriasis,inflammatory_nails,skin_rash,joint_pain,silver_like_dusting,weakness_of_one_body_side,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,unsteadiness,spinning_movements,vomiting,nausea,loss_of_balance,,,,,,,,,,,,
common cold,muscle_pain,fatigue,continuous_sneezing,high_fever,malaise,loss_of_smell,,,,,,,,,,,
gerd,chest_pain,stomach_pain,acidity,vomiting,cough,,,,,,,,,,,,
malaria,muscle_pain,headache,vomiting,chills,sweating,,,,,,,,,,,,
migraine,excessive_hunger,acidity,blurred_and_distorted_vision,headache,,,,,,,,,,,,,
hyperthyroidism,muscle_weakness,restlessness,abnormal_menstruation,fast_heart_rate,weight_loss,irritability,mood_swings,,,,,,,,,,
(vertigo) paroymsal positional vertigo,unsteadiness,loss_of_balance,nausea,,,,,,,,,,,,,,
alcoholic hepatitis,abdominal_pain,yellowish_skin,distention_of_abdomen,fluid_overload,history_of_alcohol_consumption,swelling_of_stomach,,,,,,,,,,,
cervical spondylosis,weakness_in_limbs,loss_of_balance,dizziness,neck_pain,,,,,,,,,,,,,
varicose veins,bruising,obesity,swollen_legs,fatigue,swollen_blood_vessels,prominent_veins_on_calf,cramps,,,,,,,,,,
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,,,,,,,,,,,,
migraine,irritability,excessive_hunger,indigestion,headache,stiff_neck,blurred_and_distorted_vision,,,,,,,,,,,
malaria,sweating,headache,muscle_pain,diarrhoea,high_fever,nausea,vomiting,chills,swelling_joints,,,,,,,,
hypoglycemia,palpitations,anxiety,vomiting,excessive_hunger,,,,,,,,,,,,,
hyperthyroidism,restlessness,mood_swings,excessive_hunger,irritability,fatigue,weight_loss,loss_of_appetite,,,,,,,,,,
hepatitis e,yellowish_skin,coma,vomiting,joint_pain,nausea,stomach_bleeding,fatigue,,,,,,,,,,
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
hyperthyroidism, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,,,,,,,
hepatitis a,muscle_pain,nausea,yellowish_skin,vomiting,dark_urine,,,,,,,,,,,,
chicken pox,red_spots_over_body,loss_of_appetite,malaise,itching,fatigue,,,,,,,,,,,,
hypertension,lack_of_concentration,loss_of_balance,headache,,,,,,,,,,,,,,
acne,skin_rash,scurring,pus_filled_pimples,blackheads,extra_marital_contacts,,,,,,,,,,,,
hepatitis c,yellowish_skin,loss_of_appetite,family_history,,,,,,,,,,,,,,
jaundice,itching,dark_urine,fatigue,vomiting,weight_loss,,,,,,,,,,,,
common cold,continuous_sneezing,swelled_lymph_nodes,phlegm,cough,headache,malaise,throat_irritation,,,,,,,,,,
hepatitis a, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
hyperthyroidism,excessive_hunger,weight_loss,abnormal_menstruation,,,,,,,,,,,,,,
impetigo,skin_rash,high_fever,yellow_crust_ooze,blister,,,,,,,,,,,,,
migraine,acidity,headache,visual_disturbances,indigestion,blurred_and_distorted_vision,excessive_hunger,,,,,,,,,,,
psoriasis,silver_like_dusting,inflammatory_nails,small_dents_in_nails,joint_pain,,,,,,,,,,,,,
varicose veins,obesity,swollen_legs,prominent_veins_on_calf,swollen_blood_vessels,bruising,fatigue,,,,,,,,,,,
migraine,visual_disturbances,excessive_hunger,headache,irritability,depression,stiff_neck,,,,,,,,,,,
alcoholic hepatitis,abdominal_pain,history_of_alcohol_consumption,yellowish_skin,fluid_overload,vomiting,swelling_of_stomach,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,loss_of_balance,nausea,vomiting,unsteadiness,spinning_movements,headache,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,unsteadiness,nausea,loss_of_balance,,,,,,,,,,,,,,
impetigo,yellow_crust_ooze,high_fever,blister,red_sore_around_nose,,,,,,,,,,,,,
hepatitis b,loss_of_appetite,yellowish_skin,abdominal_pain,,,,,,,,,,,,,,
chronic cholestasis,yellowish_skin,abdominal_pain,itching,nausea,yellowing_of_eyes,,,,,,,,,,,,
chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,nausea,sinus_pressure,,,,,,,,,,,
hepatitis b,malaise,receiving_blood_transfusion,dark_urine,,,,,,,,,,,,,,
hepatitis e,dark_urine,stomach_bleeding,abdominal_pain,loss_of_appetite,acute_liver_failure,high_fever,joint_pain,nausea,,,,,,,,,
hepatitis e,dark_urine,stomach_bleeding,joint_pain,vomiting,fatigue,high_fever,,,,,,,,,,,
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
chicken pox,swelled_lymph_nodes,fatigue,mild_fever,skin_rash,red_spots_over_body,headache,itching,malaise,lethargy,loss_of_appetite,,,,,,,
hypertension,loss_of_balance,headache,dizziness,chest_pain,lack_of_concentration,,,,,,,,,,,,
arthritis,stiff_neck,movement_stiffness,muscle_weakness,painful_walking,,,,,,,,,,,,,
drug reaction,stomach_pain,spotting_ urination,burning_micturition,itching,skin_rash,,,,,,,,,,,,
jaundice,vomiting,fatigue,yellowish_skin,itching,,,,,,,,,,,,,
acne,pus_filled_pimples,skin_rash,blackheads,,,,,,,,,,,,,,
jaundice,fatigue,yellowish_skin,itching,dark_urine,,,,,,,,,,,,,
chronic cholestasis,vomiting,abdominal_pain,loss_of_appetite,,,,,,,,,,,,,,
drug reaction,itching,spotting_ urination,skin_rash,burning_micturition,stomach_pain,,,,,,,,,,,,
impetigo,red_sore_around_nose,yellow_crust_ooze,skin_rash,blister,,,,,,,,,,,,,
psoriasis,joint_pain,skin_rash,small_dents_in_nails,silver_like_dusting,blood_in_sputum,,,,,,,,,,,,
hepatitis e,abdominal_pain,vomiting,fatigue,loss_of_appetite,yellowing_of_eyes,dark_urine,joint_pain,acute_liver_failure,high_fever,,,,,,,,
hepatitis a,mild_fever,yellowing_of_eyes,diarrhoea,nausea,,,,,,,,,,,,,
tuberculosis,phlegm,sweating,malaise,,,,,,,,,,,,,,
gerd,vomiting,cough,acidity,,,,,,,,,,,,,,
bronchial asthma,cough,mucoid_sputum,high_fever,family_history,fatigue,,,,,,,,,,,,
dengue,red_spots_over_body,back_pain,chills,headache,pain_behind_the_eyes,vomiting,fatigue,skin_rash,,,,,,,,,
hypoglycemia,palpitations,drying_and_tingling_lips,vomiting,,,,,,,,,,,,,,
cervical spondylosis,weakness_in_limbs,back_pain,dizziness,,,,,,,,,,,,,,
hypertension,headache,loss_of_balance,dizziness,,,,,,,,,,,,,,
psoriasis,skin_peeling,silver_like_dusting,small_dents_in_nails,skin_rash,,,,,,,,,,,,,
hepatitis c,family_history,yellowish_skin,nausea,fatigue,loss_of_appetite,yellowing_of_eyes,sinus_pressure,,,,,,,,,,
paralysis (brain hemorrhage),headache,altered_sensorium,vomiting,,,,,,,,,,,,,,
cervical spondylosis,back_pain,dizziness,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,chest_pain,acidity,vomiting,cough,stomach_pain,,,,,,,,,,,
cervical spondylosis,neck_pain,weakness_in_limbs,back_pain,dizziness,,,,,,,,,,,,,
cervical spondylosis,dizziness,loss_of_balance,neck_pain,,,,,,,,,,,,,,
hypertension,lack_of_concentration,chest_pain,dizziness,loss_of_balance,headache,,,,,,,,,,,,
typhoid,headache,chills,belly_pain,high_fever,vomiting,toxic_look_(typhos),fatigue,abdominal_pain,,,,,,,,,
dengue,vomiting,muscle_pain,loss_of_appetite,,,,,,,,,,,,,,
chicken pox,swelled_lymph_nodes,mild_fever,headache,fatigue,high_fever,red_spots_over_body,,,,,,,,,,,
hepatitis b,lethargy,itching,yellowish_skin,malaise,fatigue,abdominal_pain,,,,,,,,,,,
tuberculosis,loss_of_appetite,chills,chest_pain,,,,,,,,,,,,,,
bronchial asthma,breathlessness,family_history,fatigue,high_fever,mucoid_sputum,cough,,,,,,,,,,,
hyperthyroidism,excessive_hunger,restlessness,diarrhoea,fatigue,fast_heart_rate,muscle_weakness,mood_swings,sweating,irritability,bloody_stool,,,,,,,
hepatitis b,lethargy,dark_urine,abdominal_pain,yellowing_of_eyes,receiving_blood_transfusion,malaise,,,,,,,,,,,
hepatitis e,yellowing_of_eyes,fatigue,vomiting,yellowish_skin,nausea,loss_of_appetite,dark_urine,abdominal_pain,acute_liver_failure,,,,,,,,
tuberculosis,mild_fever,cough,yellowing_of_eyes,chest_pain,breathlessness,blood_in_sputum,fatigue,,,,,,,,,,
hypothyroidism,depression,puffy_face_and_eyes,abnormal_menstruation,irritability,,,,,,,,,,,,,
hepatitis a,yellowish_skin,dark_urine,yellowing_of_eyes,muscle_pain,,,,,,,,,,,,,
peptic ulcer diseae,indigestion,abdominal_pain,passage_of_gases,internal_itching,loss_of_appetite,,,,,,,,,,,,
aids,patches_in_throat,extra_marital_contacts,muscle_wasting,,,,,,,,,,,,,,
jaundice,high_fever,vomiting,dark_urine,abdominal_pain,,,,,,,,,,,,,
arthritis,muscle_weakness,movement_stiffness,painful_walking,stiff_neck,swelling_joints,,,,,,,,,,,,
osteoarthristis,knee_pain,joint_pain,painful_walking,neck_pain,,,,,,,,,,,,,
impetigo,blister,yellow_crust_ooze,red_sore_around_nose,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,spinning_movements,vomiting,nausea,headache,unsteadiness,loss_of_balance,,,,,,,,,,,
hepatitis b,yellow_urine,malaise,yellowing_of_eyes,yellowish_skin,lethargy,itching,loss_of_appetite,dark_urine,fatigue,receiving_unsterile_injections,,,,,,,
hypothyroidism,enlarged_thyroid,cold_hands_and_feets,dizziness,abnormal_menstruation,brittle_nails,swollen_extremeties,depression,weight_gain,fatigue,mood_swings,,,,,,,
hypothyroidism,fatigue,depression,weight_gain,abnormal_menstruation,enlarged_thyroid,mood_swings,,,,,,,,,,,
chronic cholestasis,itching,nausea,yellowing_of_eyes,abdominal_pain,yellowish_skin,unsteadiness,,,,,,,,,,,
hyperthyroidism,excessive_hunger,fatigue,muscle_weakness,fast_heart_rate,,,,,,,,,,,,,
hepatitis e,dark_urine,coma,yellowing_of_eyes,acute_liver_failure,vomiting,joint_pain,high_fever,yellowish_skin,loss_of_appetite,nausea,,,,,,,
hyperthyroidism,irritability,muscle_weakness,sweating,,,,,,,,,,,,,,
aids,high_fever,extra_marital_contacts,muscle_wasting,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,loss_of_balance,spinning_movements,headache,nausea,unsteadiness,vomiting,,,,,,,,,,,
malaria,vomiting,diarrhoea,muscle_pain,chills,nausea,,,,,,,,,,,,
chicken pox,red_spots_over_body,high_fever,itching,,,,,,,,,,,,,,
gerd,cough,stomach_pain,ulcers_on_tongue,brittle_nails,,,,,,,,,,,,,
gastroenteritis,dehydration,diarrhoea,vomiting,sunken_eyes,,,,,,,,,,,,,
dimorphic hemmorhoids(piles),bloody_stool,constipation,irritation_in_anus,pain_during_bowel_movements,,,,,,,,,,,,,
hypertension,loss_of_balance,chest_pain,lack_of_concentration,dizziness,,,,,,,,,,,,,
diabetes,blurred_and_distorted_vision,irregular_sugar_level,weight_loss,increased_appetite,excessive_hunger,fatigue,restlessness,,,,,,,,,,
malaria,headache,sweating,muscle_pain,vomiting,chills,diarrhoea,high_fever,,,,,,,,,,
common cold,fatigue,high_fever,phlegm,headache,muscle_pain,malaise,chest_pain,loss_of_smell,continuous_sneezing,congestion,,,,,,,
alcoholic hepatitis,swelling_of_stomach,history_of_alcohol_consumption,distention_of_abdomen,abdominal_pain,vomiting,,,,,,,,,,,,
hepatitis d,vomiting,yellowing_of_eyes,abdominal_pain,loss_of_appetite,,,,,,,,,,,,,
hypoglycemia,anxiety,headache,blurred_and_distorted_vision,vomiting,nausea,,,,,,,,,,,,
chronic cholestasis,itching,yellowing_of_eyes,nausea,yellow_urine,,,,,,,,,,,,,
osteoarthristis,swelling_joints,painful_walking,neck_pain,,,,,,,,,,,,,,
tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,
drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
migraine,visual_disturbances,blurred_and_distorted_vision,stiff_neck,,,,,,,,,,,,,,
hypoglycemia,slurred_speech,anxiety,nausea,,,,,,,,,,,,,,
pneumonia,sweating,rusty_sputum,fatigue,chills,high_fever,breathlessness,phlegm,fast_heart_rate,,,,,,,,,
gastroenteritis,dehydration,vomiting,sunken_eyes,,,,,,,,,,,,,,
typhoid,headache,constipation,vomiting,high_fever,nausea,chills,diarrhoea,toxic_look_(typhos),fatigue,abdominal_pain,,,,,,,
tuberculosis,high_fever,yellowing_of_eyes,chills,chest_pain,breathlessness,cough,swelled_lymph_nodes,blood_in_sputum,,,,,,,,,
psoriasis,skin_rash,inflammatory_nails,joint_pain,,,,,,,,,,,,,,
paralysis (brain hemorrhage),headache,altered_sensorium,vomiting,weakness_of_one_body_side,blood_in_sputum,,,,,,,,,,,,
dengue,back_pain,malaise,high_fever,joint_pain,muscle_pain,fatigue,loss_of_appetite,,,,,,,,,,
varicose veins,obesity,swollen_blood_vessels,swollen_legs,bruising,cramps,fatigue,,,,,,,,,,,
common cold,headache,malaise,fatigue,cough,chills,runny_nose,muscle_pain,loss_of_smell,blurred_and_distorted_vision,,,,,,,,
drug reaction,skin_rash,itching,spotting_ urination,,,,,,,,,,,,,,
acne,blackheads,scurring,skin_rash,cold_hands_and_feets,,,,,,,,,,,,,
bronchial asthma,family_history,high_fever,mucoid_sputum,fatigue,,,,,,,,,,,,,
chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
pneumonia,rusty_sputum,breathlessness,chills,cough,malaise,phlegm,sweating,chest_pain,,,,,,,,,
hypoglycemia,fatigue,nausea,slurred_speech,sweating,vomiting,,,,,,,,,,,,
osteoarthristis,neck_pain,swelling_joints,knee_pain,,,,,,,,,,,,,,
chicken pox,malaise,itching,mild_fever,headache,skin_rash,loss_of_appetite,high_fever,fatigue,lethargy,swelled_lymph_nodes,puffy_face_and_eyes,,,,,,
hypertension,chest_pain,loss_of_balance,lack_of_concentration,dizziness,,,,,,,,,,,,,
hepatitis c,fatigue,family_history,yellowish_skin,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,,
hepatitis a,dark_urine,diarrhoea,vomiting,abdominal_pain,muscle_pain,yellowing_of_eyes,,,,,,,,,,,
cervical spondylosis,back_pain,neck_pain,loss_of_balance,lethargy,,,,,,,,,,,,,
diabetes,polyuria,blurred_and_distorted_vision,obesity,lethargy,excessive_hunger,weight_loss,fatigue,increased_appetite,irregular_sugar_level,,,,,,,,
common cold,loss_of_smell,redness_of_eyes,congestion,malaise,,,,,,,,,,,,,
hyperthyroidism,restlessness,fast_heart_rate,weight_loss,abnormal_menstruation,irritability,muscle_weakness,diarrhoea,,,,,,,,,,
impetigo,skin_rash,blister,high_fever,red_sore_around_nose,,,,,,,,,,,,,
fungal infection,itching,nodal_skin_eruptions,dischromic _patches,skin_rash,,,,,,,,,,,,,
peptic ulcer diseae,indigestion,vomiting,loss_of_appetite,passage_of_gases,internal_itching,abdominal_pain,,,,,,,,,,,
migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
varicose veins,bruising,fatigue,obesity,prominent_veins_on_calf,swollen_legs,,,,,,,,,,,,
chicken pox,skin_rash,mild_fever,headache,lethargy,,,,,,,,,,,,,
tuberculosis,breathlessness,swelled_lymph_nodes,high_fever,sweating,mild_fever,blood_in_sputum,malaise,fatigue,phlegm,,,,,,,,
bronchial asthma,fatigue,family_history,breathlessness,mucoid_sputum,cough,,,,,,,,,,,,
migraine,excessive_hunger,visual_disturbances,acidity,headache,irritability,indigestion,,,,,,,,,,,
hepatitis a,vomiting,abdominal_pain,loss_of_appetite,nausea,joint_pain,mild_fever,diarrhoea,yellowish_skin,muscle_pain,dark_urine,,,,,,,
chronic cholestasis,vomiting,abdominal_pain,nausea,loss_of_appetite,yellowish_skin,,,,,,,,,,,,
typhoid,headache,vomiting,constipation,nausea,high_fever,,,,,,,,,,,,
hypertension,lack_of_concentration,dizziness,chest_pain,,,,,,,,,,,,,,
osteoarthristis,hip_joint_pain,joint_pain,painful_walking,neck_pain,,,,,,,,,,,,,
